"","descr","svcdate","cost","taxnbv","deprmeth","life","propno","group","yearsinsvc","remyears","expreason","type"
"3","2 pcs - call center (105107)                 ","10/1/2013",1854.9,741.96,"200DB",5,"105","Equipment",0.25,4.75,"None","None"
"4","compliance computer purchase (105103)        ","9/30/2013",2113.01,845.2,"200DB",5,"105","Equipment",0.25,4.75,"None","computers"
"5","call center equipment (105100)               ","8/13/2013",3020.7,1208.28,"200DB",5,"105","Equipment",0.38,4.62,"None","None"
"6","workstation furniture st pete office (105101)","9/1/2013",3301,1414.71,"200DB",7,"105","Furniture & Fixtures",0.33,6.67,"None","furniture"
"7","workstation furniture (105104)               ","10/7/2013",3488.95,1495.26,"200DB",7,"105","Furniture & Fixtures",0.23,6.77,"None","furniture"
"8","xerox work center (105105)                   ","10/1/2013",4711,1884.4,"200DB",5,"105","Equipment",0.25,4.75,"None","None"
"9","jacksonville new office furnishings (10567659","12/13/2013",15352.7,6579.73,"200DB",7,"105","Furniture & Fixtures",0.05,6.95,"None","furniture"
"10","jacksonville office buildout 12/2013 (1056765","12/13/2013",38794.67,18427.46,"150DB",15,"105","Capital Improvements",0.05,14.95,"None","office"
"11","blackbox telephone upgrade (105106)          ","10/1/2013",40850.26,16340.1,"200DB",5,"105","Equipment",0.25,4.75,"None","None"
"22","bathroom floor tile replacement              ","2/1/2012",8155.38,7599.33,"S/L",27.5,"105","Capital Improvements",1.92,25.58,"None","tile"
"25","goodwill (intangible asset)                  ","8/2/2005",824972,362071.07,"Amort",15,"105","Goodwill",8.42,6.58,"None","None"
"26","goodwill (management contract)               ","8/2/2005",236084,103614.67,"Amort",15,"105","Goodwill",8.42,6.58,"None","None"
"27","drywall                                      ","4/1/2012",1600,1500.61,"S/L",27.5,"105","Capital Improvements",1.75,25.75,"None","None"
"28","office wall and plumbing                     ","10/1/2012",3207.58,3066.64,"S/L",27.5,"105","Capital Improvements",1.25,26.25,"None","office"
"29","signs                                        ","2/1/2012",240,57.6,"200DB",5,"105","Capital Improvements",1.92,3.08,"None","signs"
"30","envelope pressure sealer                     ","5/1/2012",8137.33,1952.96,"200DB",5,"105","Equipment",1.67,3.33,"None","None"
"31","hp laptop mrutledge                          ","11/14/2012",909.49,218.27,"200DB",5,"105","Equipment",1.13,3.87,"None","None"
"32","office equipment                             ","2/1/2012",10249.34,3137.55,"200DB",7,"105","Equipment",1.92,5.08,"None","office"
"33","phone system sp voip                         ","1/1/2012",16836.84,4040.84,"200DB",5,"105","Equipment",2,3,"None","None"
"34","telephone-voip camera etc                    ","8/24/2012",62779.74,15067.14,"200DB",5,"105","Equipment",1.35,3.65,"None","None"
"35","voip panels/equip jx                         ","2/1/2012",3479.95,835.19,"200DB",5,"105","Equipment",1.92,3.08,"None","None"
"36","workstations ap                              ","5/1/2012",3786.51,1159.14,"200DB",7,"105","Furniture & Fixtures",1.67,5.33,"None","None"
"48","vestcor fees-2006                            ","7/1/2006",329501.86,164750.93,"Amort",15,"105","Intangibles",7.51,7.49,"None","None"
"64","conf/train rm table & buffet credenza        ","4/1/2007",38751.68,1729.27,"200DB",7,"105","Furniture & Fixtures",6.76,0.24,"None","None"
"67","goodwill                                     ","7/1/2007",41619.95,23584.66,"Amort",15,"105","Goodwill",6.51,8.49,"None","None"
"70","computer m rutledge                          ","2/2/2009",1678.28,48.33,"200DB",5,"105","Equipment",4.91,0.09,"None","computers"
"71","computer server                              ","6/1/2009",3644.11,104.95,"200DB",5,"105","Equipment",4.59,0.41,"None","computers"
"72","computer server set up install               ","9/29/2009",4050,116.64,"200DB",5,"105","Equipment",4.26,0.74,"None","computers"
"73","2 dell optiplex towers                       ","11/21/2009",1687.56,48.6,"200DB",5,"105","Equipment",4.11,0.89,"None","None"
"74","computer                                     ","12/31/2009",1321.96,38.07,"200DB",5,"105","Equipment",4,1,"None","computers"
"75","computer monitors                            ","2/28/2010",1758.82,151.96,"200DB",5,"105","Equipment",3.84,1.16,"None","computers"
"76","troy check printer                           ","4/30/2010",817.12,70.6,"200DB",5,"105","Equipment",3.67,1.33,"None","None"
"77","crosland legal fees (67642)                  ","10/1/2011",39132,17120.25,"Amort",4,"105","Intangibles",2.25,1.75,"None","None"
"78","crosland legal fees (67651)                  ","10/1/2011",90185,39455.94,"Amort",4,"105","Intangibles",2.25,1.75,"None","None"
"85","capital improvements                         ","6/30/2004",2080,1358.27,"S/L",27.5,"120","Capital Improvements",9.51,17.99,"None","None"
"90","building                                     ","6/30/2004",10845000,7082113.6,"S/L",27.5,"120","Building",9.51,17.99,"None","None"
"92","hvac                                         ","6/30/2004",1001.92,162.7,"150DB",15,"120","Capital Improvements",9.51,5.49,"None","None"
"94","landscaping improvements                     ","6/30/2004",1417,230.09,"150DB",15,"120","Capital Improvements",9.51,5.49,"None","landscaping"
"105","capital improvements                         ","6/30/2005",332146,228979.41,"S/L",27.5,"120","Capital Improvements",8.51,18.99,"None","None"
"107","hvac                                         ","6/30/2005",351.77,242.52,"S/L",27.5,"120","Capital Improvements",8.51,18.99,"None","None"
"111","land improvement / landscape                 ","6/30/2005",71905.81,27598.77,"150DB",15,"120","Capital Improvements",8.51,6.49,"None","landscaping"
"112","signage                                      ","6/30/2005",13448,9270.96,"S/L",27.5,"120","Capital Improvements",8.51,18.99,"None","signs"
"115","120_a/c unit                                 ","9/20/2007",605.12,466.7,"S/L",27.5,"120","Equipment",6.28,21.22,"None","hvac"
"116","120_1.5 ton a/c u                            ","10/9/2007",588.22,455.42,"S/L",27.5,"120","Equipment",6.23,21.27,"None","hvac"
"118","120_condensor                                ","11/13/2007",588.22,457.21,"S/L",27.5,"120","Equipment",6.14,21.36,"None","condenser"
"119","120_replace circlulator                      ","12/11/2007",1025.75,800.4,"S/L",27.5,"120","Equipment",6.06,21.44,"None","None"
"130","120_a/c unit                                 ","6/30/2007",605.12,461.2,"S/L",27.5,"120","Equipment",6.51,20.99,"None","hvac"
"170","1.5 ton seer unit                            ","9/26/2006",578.99,425.5,"S/L",27.5,"120","Equipment",7.27,20.23,"None","HVAC"
"173","1.5 ton seer unit                            ","10/5/2006",578.99,427.25,"S/L",27.5,"120","Equipment",7.24,20.26,"None","HVAC"
"177","1.5 ton fan coil                             ","8/22/2006",362.26,265.13,"S/L",27.5,"120","Equipment",7.36,20.14,"None","HVAC"
"180","1.5 ton seer unit                            ","9/18/2006",578.98,425.49,"S/L",27.5,"120","Equipment",7.29,20.21,"None","HVAC"
"181","1.5 ton seer unit                            ","7/25/2006",577.97,421.2,"S/L",27.5,"120","Equipment",7.44,20.06,"None","HVAC"
"184","1.5 ton seer unit                            ","7/31/2006",616.44,449.23,"S/L",27.5,"120","Equipment",7.42,20.08,"None","HVAC"
"185","2 ton seer unit                              ","8/4/2006",691,505.67,"S/L",27.5,"120","Equipment",7.41,20.09,"None","HVAC"
"188","2 ton fan coil                               ","8/15/2006",409.06,299.39,"S/L",27.5,"120","Equipment",7.38,20.12,"None","HVAC"
"189","1.5 ton louver unit                          ","6/8/2006",396.24,287.57,"S/L",27.5,"120","Equipment",7.57,19.93,"None","louver"
"190","1.5 ton louver unit                          ","6/12/2006",396.24,287.57,"S/L",27.5,"120","Equipment",7.56,19.94,"None","louver"
"191","1.5 ton louver unit                          ","6/15/2006",396.24,287.57,"S/L",27.5,"120","Equipment",7.55,19.95,"None","louver"
"196","1.5 ton louver unit                          ","6/29/2006",396.24,287.57,"S/L",27.5,"120","Equipment",7.51,19.99,"None","louver"
"199","1.5 ton louver unit                          ","7/17/2006",1313.52,957.31,"S/L",27.5,"120","Equipment",7.46,20.04,"None","louver"
"200","2.5 ton seer unit                            ","7/17/2006",431.92,314.75,"S/L",27.5,"120","Equipment",7.46,20.04,"None","HVAC"
"202","1.5 ton seer unit                            ","5/19/2006",435.42,314.71,"S/L",27.5,"120","Equipment",7.62,19.88,"None","HVAC"
"203","1.5 ton louver unit                          ","5/25/2006",396.25,286.37,"S/L",27.5,"120","Equipment",7.61,19.89,"None","louver"
"210","2 ton louver unit                            ","6/14/2006",418.62,303.83,"S/L",27.5,"120","Equipment",7.55,19.95,"None","louver"
"213","1.5 ton louver unit                          ","4/21/2006",396.25,285.17,"S/L",27.5,"120","Equipment",7.7,19.8,"None","louver"
"217","1.5 ton fan coil unit                        ","5/4/2006",269.37,194.65,"S/L",27.5,"120","Equipment",7.67,19.83,"None","HVAC"
"218","1.5 ton louver unit                          ","5/5/2006",396.24,286.36,"S/L",27.5,"120","Equipment",7.66,19.84,"None","louver"
"222","1.5 ton louver unit                          ","4/19/2006",387.25,278.72,"S/L",27.5,"120","Equipment",7.71,19.79,"None","louver"
"224","1.5 ton comfort range                        ","3/28/2006",395.82,283.7,"S/L",27.5,"120","Equipment",7.77,19.73,"None","range"
"225","vortex recovery unit                         ","4/6/2006",762.14,549.69,"S/L",27.5,"120","Furniture & Fixtures",7.74,19.76,"None","None"
"226","1.5 ton bristol compressor                   ","4/11/2006",216.7,155.96,"S/L",27.5,"120","Equipment",7.73,19.77,"None","brick"
"229","irrigation repairs                           ","3/1/2006",365.99,153.98,"150DB",15,"120","Capital Improvements",7.84,7.16,"None","repair"
"247","street curb/sidewalk                         ","11/20/2006",20111,9351.83,"150DB",15,"120","Capital Improvements",7.12,7.88,"None","curb"
"248","repair sidewalk                              ","11/22/2006",2200,1023.01,"150DB",15,"120","Capital Improvements",7.11,7.89,"None","repair"
"249","build dumpster surround                      ","11/1/2006",1725,802.15,"150DB",15,"120","Capital Improvements",7.17,7.83,"None","None"
"250","new color beds & pedestals                   ","12/10/2006",19547.24,9089.68,"150DB",15,"120","Capital Improvements",7.06,7.94,"None","None"
"252","new fitness flooring                         ","10/3/2006",2590.94,1911.77,"S/L",27.5,"120","Capital Improvements",7.25,20.25,"None","doors"
"254","lighting/gate for shop                       ","12/19/2006",1010,751.36,"S/L",27.5,"120","Capital Improvements",7.04,20.46,"None","lighting"
"255","cap renov mf -supervision                    ","12/31/2006",4148.55,3086.24,"S/L",27.5,"120","Capital Improvements",7.01,20.49,"None","supervision"
"257","120    c_brick & foundation repairs          ","8/15/2006",17848,13061.48,"S/L",27.5,"120","Capital Improvements",7.38,20.12,"None","repair"
"258","120    c_doors                               ","11/15/2006",650,481.57,"S/L",27.5,"120","Capital Improvements",7.13,20.37,"None","doors"
"259","120    c_electrical                          ","8/15/2006",31,22.67,"S/L",27.5,"120","Capital Improvements",7.38,20.12,"repair below $200","electrical"
"260","120    c_exterior siding                     ","5/15/2006",36000,26018.19,"S/L",27.5,"120","Capital Improvements",7.64,19.86,"None","siding"
"261","120    c_fire protections spec               ","11/15/2006",122.14,90.5,"S/L",27.5,"120","Capital Improvements",7.13,20.37,"repair below $200","None"
"262","120    c_lum sum office improvements         ","2/15/2006",6570.75,4689.1,"S/L",27.5,"120","Capital Improvements",7.88,19.62,"None","office"
"263","120    c_metal fabrications                  ","8/15/2006",25289.4,18507.27,"S/L",27.5,"120","Capital Improvements",7.38,20.12,"None","brick"
"264","120    c_metal windows                       ","2/15/2006",7695,5491.42,"S/L",27.5,"120","Capital Improvements",7.88,19.62,"None","windows"
"265","120    c_molding & trims                     ","11/15/2006",336.52,249.31,"S/L",27.5,"120","Capital Improvements",7.13,20.37,"None","None"
"266","120    c_plumbing                            ","8/15/2006",465.43,340.64,"S/L",27.5,"120","Capital Improvements",7.38,20.12,"None","plumbing"
"267","120    c_plumbing                            ","11/15/2006",535.84,396.97,"S/L",27.5,"120","Capital Improvements",7.13,20.37,"None","plumbing"
"268","120    c_supervision                         ","2/15/2006",319.72,228.14,"S/L",27.5,"120","Capital Improvements",7.88,19.62,"None","supervision"
"269","120    c_supervision                         ","5/15/2006",3103.1,2242.7,"S/L",27.5,"120","Capital Improvements",7.64,19.86,"None","supervision"
"270","120    c_supervision                         ","8/15/2006",3295.59,2411.77,"S/L",27.5,"120","Capital Improvements",7.38,20.12,"None","supervision"
"271","120    c_timber retaining walls              ","2/15/2006",26683.63,11226.45,"150DB",15,"120","Capital Improvements",7.88,7.12,"None","None"
"273","120    e_hvac                                ","8/15/2006",3255.37,2382.32,"S/L",27.5,"120","Equipment",7.38,20.12,"None","None"
"274","120    f_lighting & fixtures                 ","5/15/2006",67.27,48.7,"S/L",27.5,"120","Furniture & Fixtures",7.64,19.86,"repair below $200","lighting"
"275","120    f_lighting & fixtures                 ","8/15/2006",190.63,139.81,"S/L",27.5,"120","Furniture & Fixtures",7.38,20.12,"repair below $200","lighting"
"278","120_c_interior painting                      ","1/15/2007",3000,2240.91,"S/L",27.5,"120","Capital Improvements",6.96,20.54,"None","painting"
"279","120_c_supervision                            ","1/15/2007",1438.5,1074.51,"S/L",27.5,"120","Capital Improvements",6.96,20.54,"None","supervision"
"280","120_c_supervision                            ","2/15/2007",55.93,41.97,"S/L",27.5,"120","Capital Improvements",6.88,20.62,"repair below $200","supervision"
"281","120_c_supervision                            ","3/15/2007",378.32,284.87,"S/L",27.5,"120","Capital Improvements",6.8,20.7,"None","supervision"
"282","120_c_paving & marking                       ","5/15/2007",3417,1715.05,"150DB",15,"120","Capital Improvements",6.64,8.36,"None","parking lot"
"283","120_c_supervision                            ","5/15/2007",492.14,373.56,"S/L",27.5,"120","Capital Improvements",6.64,20.86,"None","supervision"
"284","120_gate motor                               ","11/30/2007",840.02,421.62,"150DB",15,"120","Capital Improvements",6.09,8.91,"None","gates"
"285","120_supervision                              ","12/31/2007",16.28,12.72,"S/L",27.5,"120","Capital Improvements",6.01,21.49,"repair below $200","supervision"
"286","120 _camera inspection & auger               ","12/11/2007",232.5,181.45,"S/L",27.5,"120","Capital Improvements",6.06,21.44,"None","None"
"287","120_c_cab & vanities & tops                  ","1/15/2007",4000,2987.91,"S/L",27.5,"120","Capital Improvements",6.96,20.54,"None","vanities"
"288","120_c_ceramic tiles                          ","1/15/2007",3500,2614.41,"S/L",27.5,"120","Capital Improvements",6.96,20.54,"None","tile"
"289","120_c_electrical                             ","1/15/2007",2500,1867.42,"S/L",27.5,"120","Capital Improvements",6.96,20.54,"None","electrical"
"290","120_c_gypsum board                           ","1/15/2007",4000,2987.91,"S/L",27.5,"120","Capital Improvements",6.96,20.54,"None","None"
"291","120_c_lighting & fixtures                    ","1/15/2007",550,410.83,"S/L",27.5,"120","Capital Improvements",6.96,20.54,"None","lighting"
"292","120_c_molding & trims                        ","1/15/2007",3000,2240.91,"S/L",27.5,"120","Capital Improvements",6.96,20.54,"None","None"
"293","120_c_plumbing                               ","2/15/2007",799.06,599.28,"S/L",27.5,"120","Capital Improvements",6.88,20.62,"None","plumbing"
"294","120_c_plumbing                               ","3/15/2007",350,263.54,"S/L",27.5,"120","Capital Improvements",6.8,20.7,"None","plumbing"
"295","120_c_balconies                              ","5/15/2007",2925,2220.36,"S/L",27.5,"120","Capital Improvements",6.64,20.86,"None","balcony"
"296","120_c_special doors                          ","5/15/2007",688.5,522.61,"S/L",27.5,"120","Capital Improvements",6.64,20.86,"None","doors"
"297","120_e_air conditioning & heat                ","3/15/2007",1182.6,890.56,"S/L",27.5,"120","Equipment",6.8,20.7,"None","HVAC"
"300","120_e_air conditioning & heat                ","4/15/2007",591.3,447.07,"S/L",27.5,"120","Equipment",6.72,20.78,"None","HVAC"
"301","120_e_air conditioning & heat                ","5/15/2007",591.3,448.86,"S/L",27.5,"120","Equipment",6.64,20.86,"None","HVAC"
"303","120_a/c unit                                 ","6/12/2007",605.12,461.2,"S/L",27.5,"120","Equipment",6.56,20.94,"None","hvac"
"304","120_2 a/c units                              ","6/15/2007",1150.7,876.99,"S/L",27.5,"120","Equipment",6.55,20.95,"None","hvac"
"305","120_a/c & heat                               ","6/11/2007",465.56,354.81,"S/L",27.5,"120","Equipment",6.56,20.94,"None","hvac"
"306","120_2-1.5 a/c units                          ","7/9/2007",1091.16,834.89,"S/L",27.5,"120","Equipment",6.48,21.02,"None","hvac"
"307","120_2-1.5 a/c units                          ","7/16/2007",1091.16,834.89,"S/L",27.5,"120","Equipment",6.47,21.03,"None","hvac"
"308","120_purchas 1.5 ton seer condenser           ","8/27/2007",545.58,419.1,"S/L",27.5,"120","Equipment",6.35,21.15,"None","condenser"
"309","120_1.5 ton condensor                        ","9/13/2007",545.58,420.75,"S/L",27.5,"120","Equipment",6.3,21.2,"None","condenser"
"311","120_1.5 ton a/c uni                          ","9/11/2008",583.47,471.18,"S/L",27.5,"120","Capital Improvements",5.31,22.19,"None","hvac"
"312","120_1.5 ton a/c unit                         ","6/16/2008",540.17,431.33,"S/L",27.5,"120","Capital Improvements",5.55,21.95,"None","hvac"
"315","120_2-1.5 ton units                          ","4/1/2008",1205.47,955.22,"S/L",27.5,"120","Capital Improvements",5.75,21.75,"None","HVAC"
"317","120_ac units-2                               ","7/17/2008",1134.46,909.3,"S/L",27.5,"120","Capital Improvements",5.46,22.04,"None","None"
"319","120_boiler repairs/materials                 ","12/30/2008",1457.6,1190.39,"S/L",27.5,"120","Capital Improvements",5.01,22.49,"None","repair"
"320","120_brick repairs 3 8 15 and wall            ","6/12/2008",5000,3992.42,"S/L",27.5,"120","Capital Improvements",5.56,21.94,"None","repair"
"338","120_ductwork                                 ","2/3/2008",1422.17,1118.32,"S/L",27.5,"120","Capital Improvements",5.91,21.59,"None","None"
"339","120_exterior lighting installed              ","6/12/2008",2137.94,599.65,"150DB",15,"120","Landscaping",5.56,9.44,"None","lighting"
"341","120_gate part replacement                    ","1/8/2008",285,79.93,"150DB",15,"120","Landscaping",5.98,9.02,"None","gates"
"342","120_gate part replacement2                   ","1/8/2008",265,74.31,"150DB",15,"120","Landscaping",5.98,9.02,"None","gates"
"343","120_landscaping contract-50% dwn             ","4/11/2008",4874.5,1367.21,"150DB",15,"120","Landscaping",5.73,9.27,"None","landscaping"
"344","120_landscaping- final 50%                   ","6/25/2008",4874.5,1367.21,"150DB",15,"120","Landscaping",5.52,9.48,"None","landscaping"
"346","120_office duct work                         ","4/3/2008",140.73,111.51,"S/L",27.5,"120","Capital Improvements",5.75,21.75,"repair below $200","office"
"347","120_plenum @office -clean out                ","4/18/2008",283.08,224.34,"S/L",27.5,"120","Capital Improvements",5.71,21.79,"None","office"
"348","120_pro temp on boilers                      ","6/12/2008",2990,2387.46,"S/L",27.5,"120","Capital Improvements",5.56,21.94,"None","toilets"
"364","120_replace-air supply plenum                ","4/3/2008",619.58,490.97,"S/L",27.5,"120","Capital Improvements",5.75,21.75,"None","None"
"365","120_restriping-labor/materials               ","5/1/2008",3424,960.37,"150DB",15,"120","Capital Improvements",5.67,9.33,"None","water heater"
"366","120_retaining wall repair                    ","6/12/2008",5000,1402.41,"150DB",15,"120","Capital Improvements",5.56,9.44,"None","repair"
"367","120_sewer lines unit #716                    ","4/11/2008",2815,789.55,"150DB",15,"120","Capital Improvements",5.73,9.27,"None","sewer"
"383","120_a/c unit                                 ","3/24/2009",643.26,531.18,"S/L",27.5,"120","Equipment",4.78,22.72,"None","hvac"
"384","120_a/c unit                                 ","4/2/2009",583.47,483.56,"S/L",27.5,"120","Equipment",4.75,22.75,"None","hvac"
"385","120_a/c unit                                 ","11/23/2009",572.65,486.77,"S/L",27.5,"120","Equipment",4.11,23.39,"None","hvac"
"386","120_a/c units                                ","5/19/2009",1031.45,857.97,"S/L",27.5,"120","Equipment",4.62,22.88,"None","hvac"
"387","120_a/c units                                ","6/9/2009",1954.66,1631.84,"S/L",27.5,"120","Equipment",4.56,22.94,"None","hvac"
"388","120_a/c units                                ","7/1/2009",2893.12,2424.1,"S/L",27.5,"120","Equipment",4.5,23,"None","hvac"
"389","120_a/c units                                ","8/5/2009",4710.06,3960.75,"S/L",27.5,"120","Equipment",4.41,23.09,"None","hvac"
"390","120_a/c units                                ","9/1/2009",3435.66,2899.5,"S/L",27.5,"120","Equipment",4.33,23.17,"None","hvac"
"391","120_concrete repairs                         ","4/28/2009",2278.98,710.24,"150DB",15,"120","Capital Improvements",4.68,10.32,"None","repair"
"392","120_dishwasher                               ","6/4/2009",307.6,8.86,"200DB",5,"120","Equipment",4.58,0.42,"None","dishwasher"
"393","120_dishwasher                               ","7/28/2009",307.6,8.86,"200DB",5,"120","Equipment",4.43,0.57,"None","dishwasher"
"394","120_dishwasher                               ","8/11/2009",306,8.81,"200DB",5,"120","Equipment",4.39,0.61,"None","dishwasher"
"395","120_dishwasher                               ","12/23/2009",304.4,8.77,"200DB",5,"120","Equipment",4.02,0.98,"None","dishwasher"
"396","120_dishwashers                              ","2/17/2009",954.02,27.48,"200DB",5,"120","Equipment",4.87,0.13,"None","dishwasher"
"397","120_dishwashers                              ","3/24/2009",615.2,17.72,"200DB",5,"120","Equipment",4.78,0.22,"None","dishwasher"
"398","120_dishwashers                              ","5/12/2009",922.81,26.58,"200DB",5,"120","Equipment",4.64,0.36,"None","dishwasher"
"399","120_dishwashers                              ","10/27/2009",608.8,17.53,"200DB",5,"120","Equipment",4.18,0.82,"None","dishwasher"
"400","120_dishwashers                              ","11/12/2009",608.8,17.53,"200DB",5,"120","Equipment",4.14,0.86,"None","dishwasher"
"401","120_membrane roofing                         ","11/10/2009",21235.5,18050.17,"S/L",27.5,"120","Capital Improvements",4.14,23.36,"None","roof"
"402","120_membrane roofing                         ","12/2/2009",56139.5,47888.68,"S/L",27.5,"120","Capital Improvements",4.08,23.42,"None","roof"
"403","120_microwave                                ","10/27/2009",54.08,1.56,"200DB",5,"120","Equipment",4.18,0.82,"repair below $200","microwave"
"404","120_parking lot repairs                      ","4/7/2009",1285,400.46,"150DB",15,"120","Capital Improvements",4.74,10.26,"None","parking lot"
"405","120_range                                    ","3/24/2009",476.98,13.74,"200DB",5,"120","Equipment",4.78,0.22,"None","range"
"406","120_range                                    ","5/27/2009",476.98,13.74,"200DB",5,"120","Equipment",4.6,0.4,"None","range"
"407","120_range                                    ","6/4/2009",476.99,13.74,"200DB",5,"120","Equipment",4.58,0.42,"None","range"
"408","120_range                                    ","7/28/2009",476.98,13.74,"200DB",5,"120","Equipment",4.43,0.57,"None","range"
"409","120_range                                    ","9/23/2009",456.93,13.16,"200DB",5,"120","Equipment",4.27,0.73,"None","range"
"410","120_ranges                                   ","2/23/2009",953.96,27.47,"200DB",5,"120","Equipment",4.85,0.15,"None","range"
"411","120_ranges                                   ","10/6/2009",1381.09,39.78,"200DB",5,"120","Equipment",4.24,0.76,"None","range"
"412","120_ranges                                   ","11/2/2009",1016.01,29.26,"200DB",5,"120","Equipment",4.16,0.84,"None","range"
"413","120_ranges                                   ","12/2/2009",1398.57,40.28,"200DB",5,"120","Equipment",4.08,0.92,"None","range"
"414","120_refrigerator                             ","3/24/2009",619.32,17.84,"200DB",5,"120","Equipment",4.78,0.22,"None","refrigerator"
"415","120_refrigerator                             ","9/23/2009",616.09,17.74,"200DB",5,"120","Equipment",4.27,0.73,"None","refrigerator"
"416","120_refrigerator                             ","11/2/2009",540.88,15.58,"200DB",5,"120","Equipment",4.16,0.84,"None","refrigerator"
"417","120_refrigerator/icemaker                    ","2/17/2009",706.57,20.35,"200DB",5,"120","Equipment",4.87,0.13,"None","refrigerator"
"418","120_refrigerators                            ","4/6/2009",1238.64,35.67,"200DB",5,"120","Equipment",4.74,0.26,"None","refrigerator"
"419","120_refrigerators                            ","7/1/2009",2521.97,72.63,"200DB",5,"120","Equipment",4.5,0.5,"None","refrigerator"
"420","120_refrigerators                            ","12/2/2009",1225.75,35.3,"200DB",5,"120","Equipment",4.08,0.92,"None","refrigerator"
"421","120_refrigrator/icemaker                     ","8/11/2009",702.88,20.24,"200DB",5,"120","Equipment",4.39,0.61,"None","refrigerator"
"422","120_supervision                              ","11/30/2009",2123.6,1805.07,"S/L",27.5,"120","Capital Improvements",4.09,23.41,"None","supervision"
"423","120_supervision                              ","12/31/2009",5614,4788.89,"S/L",27.5,"120","Capital Improvements",4,23.5,"None","supervision"
"424","120_washer                                   ","8/11/2009",433.15,12.48,"200DB",5,"120","Equipment",4.39,0.61,"None","None"
"425","120_washer/dryer                             ","1/27/2009",878.52,25.3,"200DB",5,"120","Equipment",4.93,0.07,"None","dryer"
"426","120_washer/dryer                             ","2/17/2009",875.79,25.22,"200DB",5,"120","Equipment",4.87,0.13,"None","dryer"
"427","120_washer/dryer                             ","11/23/2009",441.66,12.72,"200DB",5,"120","Equipment",4.11,0.89,"None","dryer"
"428","120_washer/dryer                             ","12/31/2009",851.49,24.52,"200DB",5,"120","Equipment",4,1,"None","dryer"
"429","120_washers                                  ","11/2/2009",861.78,24.82,"200DB",5,"120","Equipment",4.16,0.84,"None","None"
"430","120_washers  & dryers                        ","10/6/2009",1730.75,49.85,"200DB",5,"120","Equipment",4.24,0.76,"None","dryer"
"431","120_washers/dryers                           ","3/5/2009",2615.25,75.32,"200DB",5,"120","Equipment",4.83,0.17,"None","dryer"
"432","120_washers/dryers                           ","4/2/2009",1744.03,50.23,"200DB",5,"120","Equipment",4.75,0.25,"None","dryer"
"433","120_range                                    ","2/9/2010",459.33,39.68,"200DB",5,"120","Equipment",3.89,1.11,"None","range"
"434","120_washers and                              ","2/2/2010",1286.92,111.19,"200DB",5,"120","Equipment",3.91,1.09,"None","None"
"435","120_refrigerator &icemaker                   ","2/9/2010",619.32,53.51,"200DB",5,"120","Equipment",3.89,1.11,"None","refrigerator"
"436","120_dishwasher                               ","2/25/2010",307.6,26.57,"200DB",5,"120","Equipment",3.85,1.15,"None","dishwasher"
"437","120_amenity replacment                       ","2/28/2010",3161.46,273.15,"200DB",5,"120","Furniture & Fixtures",3.84,1.16,"None","None"
"438","120_washer/dryer                             ","3/15/2010",1720.92,148.69,"200DB",5,"120","Equipment",3.8,1.2,"None","dryer"
"439","120_a/c unit                                 ","4/21/2010",643.26,556.52,"S/L",27.5,"120","Equipment",3.7,23.8,"None","hvac"
"440","120_range/ventahood                          ","4/12/2010",502.35,43.4,"200DB",5,"120","Equipment",3.72,1.28,"None","range"
"441","120_washers/dryers                           ","4/21/2010",1295.87,111.97,"200DB",5,"120","Equipment",3.7,1.3,"None","dryer"
"442","120_refrigerator                             ","4/29/2010",619.32,53.51,"200DB",5,"120","Equipment",3.68,1.32,"None","refrigerator"
"443","120_dishwasher                               ","4/21/2010",319,27.56,"200DB",5,"120","Equipment",3.7,1.3,"None","dishwasher"
"444","120_refrigerator                             ","5/5/2010",470.75,40.67,"200DB",5,"120","Equipment",3.66,1.34,"None","refrigerator"
"445","120_dishwashers                              ","5/5/2010",957.02,82.69,"200DB",5,"120","Equipment",3.66,1.34,"None","dishwasher"
"446","120_a/c units                                ","6/1/2010",1918.7,1671.6,"S/L",27.5,"120","Equipment",3.59,23.91,"None","hvac"
"447","120_range                                    ","6/15/2010",459.33,39.68,"200DB",5,"120","Equipment",3.55,1.45,"None","range"
"448","120_washers                                  ","6/1/2010",1181.57,102.08,"200DB",5,"120","Equipment",3.59,1.41,"None","None"
"449","120_refrigerator/icemaker                    ","6/23/2010",619.32,53.51,"200DB",5,"120","Equipment",3.53,1.47,"None","refrigerator"
"450","120_supervision                              ","6/30/2010",941.3,325.95,"150DB",15,"120","Capital Improvements",3.51,11.49,"None","supervision"
"451","120_cleaning &grubbing                       ","6/21/2010",5412.5,1874.21,"150DB",15,"120","Capital Improvements",3.53,11.47,"None","cleaning grubbing"
"452","120_lanscaping                               ","6/15/2010",4000,1385.1,"150DB",15,"120","Capital Improvements",3.55,11.45,"None","None"
"453","120_a/c units                                ","7/5/2010",2782.05,2432.17,"S/L",27.5,"120","Equipment",3.49,24.01,"None","hvac"
"454","120_range                                    ","7/20/2010",459.33,39.68,"200DB",5,"120","Equipment",3.45,1.55,"None","range"
"455","120_washer                                   ","7/12/2010",1967.32,169.98,"200DB",5,"120","Equipment",3.47,1.53,"None","None"
"456","120_refrigerator/icemaker                    ","7/12/2010",91.27,7.88,"200DB",5,"120","Equipment",3.47,1.53,"repair below $200","refrigerator"
