"","descr","svcdate","cost","taxnbv","deprmeth","life","propno","group","yearsinsvc","remyears","expreason","type"
"3345","210    trash removal                         ","11/15/2006",1404.07,652.9,"150DB",15,"210","Capital Improvements",7.13,7.87,"None","removal"
"3346","210    wallcovering                          ","5/15/2006",378.14,273.3,"S/L",27.5,"210","Capital Improvements",7.64,19.86,"None","wall covering"
"3357","210    windows                               ","2/15/2006",3116.17,2223.78,"S/L",27.5,"210","Capital Improvements",7.88,19.62,"None","windows"
"3358","210    windows                               ","5/15/2006",301.19,217.69,"S/L",27.5,"210","Capital Improvements",7.64,19.86,"None","windows"
"3359","210_c_concrete & sidewalks                   ","3/15/2007",1100,552.11,"150DB",15,"210","Capital Improvements",6.8,8.2,"None","sidewalks"
"3360","210_c_gypsum board                           ","3/15/2007",32.84,24.75,"S/L",27.5,"210","Capital Improvements",6.8,20.7,"repair below $200","None"
"3361","210_c_retaining walls                        ","2/15/2007",1600,1200.01,"S/L",27.5,"210","Capital Improvements",6.88,20.62,"None","None"
"3362","210_c_storm drainage systems                 ","3/15/2007",4000,2007.66,"150DB",15,"210","Capital Improvements",6.8,8.2,"None","drainage"
"3363","210_c_supervision                            ","1/15/2007",127.63,95.34,"S/L",27.5,"210","Capital Improvements",6.96,20.54,"repair below $200","supervision"
"3364","210_c_supervision                            ","2/15/2007",357,267.76,"S/L",27.5,"210","Capital Improvements",6.88,20.62,"None","supervision"
"3365","210_c_supervision                            ","3/15/2007",659.56,496.69,"S/L",27.5,"210","Capital Improvements",6.8,20.7,"None","supervision"
"3367","210_c_daily labor                            ","4/15/2007",14369,10863.83,"S/L",27.5,"210","Capital Improvements",6.72,20.78,"None","None"
"3368","210_c_perimeter fencing                      ","4/15/2007",2393.5,1201.34,"150DB",15,"210","Capital Improvements",6.72,8.28,"None","fences"
"3369","210_c_storm drainage systems                 ","4/15/2007",1500,752.88,"150DB",15,"210","Capital Improvements",6.72,8.28,"None","drainage"
"3370","210_c_supervision                            ","4/15/2007",1685.95,1274.66,"S/L",27.5,"210","Capital Improvements",6.72,20.78,"None","supervision"
"3371","210_c_trash removal                          ","4/15/2007",480.9,363.57,"S/L",27.5,"210","Capital Improvements",6.72,20.78,"None","removal"
"3373","210_c_daily labor                            ","5/15/2007",32635,24772.92,"S/L",27.5,"210","Capital Improvements",6.64,20.86,"None","None"
"3374","210_c_office remodeling                      ","5/15/2007",87.68,66.55,"S/L",27.5,"210","Capital Improvements",6.64,20.86,"repair below $200","office"
"3375","210_c_perimeter fencing                      ","5/15/2007",2393.5,1201.34,"150DB",15,"210","Capital Improvements",6.64,8.36,"None","fences"
"3376","210_c_supervision                            ","5/15/2007",2637.06,2001.79,"S/L",27.5,"210","Capital Improvements",6.64,20.86,"None","supervision"
"3377","210_c_trash removal                          ","5/15/2007",270.73,205.54,"S/L",27.5,"210","Capital Improvements",6.64,20.86,"None","removal"
"3378","210_air conditioning and heat                ","6/30/2007",553.57,421.89,"S/L",27.5,"210","Capital Improvements",6.51,20.99,"None","HVAC"
"3379","210_construction trash removal               ","6/30/2007",546.82,416.77,"S/L",27.5,"210","Capital Improvements",6.51,20.99,"None","removal"
"3380","210_supervision                              ","6/30/2007",86.2,65.72,"S/L",27.5,"210","Capital Improvements",6.51,20.99,"repair below $200","supervision"
"3381","210_containers                               ","7/30/2007",230.93,176.68,"S/L",27.5,"210","Capital Improvements",6.43,21.07,"None","None"
"3382","210_paint for unit remodel                   ","7/12/2007",934.21,714.82,"S/L",27.5,"210","Capital Improvements",6.48,21.02,"None","painting"
"3383","210_supervision                              ","7/31/2007",81.56,62.38,"S/L",27.5,"210","Capital Improvements",6.42,21.08,"repair below $200","supervision"
"3384","210_supervision                              ","8/31/2007",66.5,51.07,"S/L",27.5,"210","Capital Improvements",6.34,21.16,"repair below $200","supervision"
"3385","210_road repair aftr sewer replacm           ","8/24/2007",950,476.82,"150DB",15,"210","Capital Improvements",6.36,8.64,"None","sewer"
"3386","210_1draw on contract #wrh001-2007           ","10/5/2007",8922.3,6908.01,"S/L",27.5,"210","Capital Improvements",6.24,21.26,"None","None"
"3387","210_supervision                              ","10/31/2007",624.56,483.57,"S/L",27.5,"210","Capital Improvements",6.17,21.33,"None","supervision"
"3388","210_draw 2 on contract wrh001-2007           ","11/8/2007",36515.3,28382.34,"S/L",27.5,"210","Capital Improvements",6.15,21.35,"None","None"
